id,enunciado,alternativas,respostaCorreta,area,ano,autorId,dataCriacao
ad84a7d6-ae28-452f-8d72-045e46c5c5c1,Qual é a capital do Brasil?,"[""São Paulo"",""Rio de Janeiro"",""Brasília"",""Salvador""]",2,Geografia,2024,3f13b6dc-7554-458c-98ef-5b7ab96801f8,2025-02-06 01:23:11.217
Z0FBQUFBQm5wRGR4ejdJb25CbVZyNU5sbnVFbTNuckk3bHNNMndfYkRGNFhUenpIRndfdUZFYTRLRmZTMmZDNEdZaEREM19jQ18wUWFVV213MTRZckZHUVphSWZ1WHhtbmc9PQ==,"O Plano de Desenvolvimento Urbano Local Integrado (PDUI) surgiu como uma demanda da Lei do Estatuto
da Metrópole, Lei n. 13.089/2015. Nele, são definidos as diretrizes e os meios necessários para orientar
ações governamentais e da iniciativa privada em Regiões Metropolitanas (RMs), Aglomerações Urbanas
(AUs) e Microrregiões (MRs), visando ao desenvolvimento sustentável e à redução das desigualdades
regionais. Trata-se de instrumento de planejamento urbano e territorial formulado com diretrizes,
projetos e ações que subsidiem uma visão de cidade metropolitana. O objetivo da promulgação dessa
lei é articular, intersetorialmente, as políticas públicas e, sobretudo, promover as funções públicas de
interesse comum, tais como mobilidade, habitação e saneamento ambiental. A política metropolitana
habitacional, por exemplo, deve objetivar a redução das desigualdades sociais e a melhoria das condições
de vida na escala metropolitana.
Disponível em: https://rmp.pdui.sp.gov.br/?page_id=125. Acesso em: 18 ago. 2023 (adaptado).
Considerando os modos de enfrentamento da crise habitacional metropolitana propostos no referido plano,
avalie as afirmações a seguir.
I. O macrozoneamento metropolitano deve contemplar a identificação de áreas com
potencialidades habitacionais em cada município.
II. Os parâmetros de uso e ocupação do solo devem priorizar os interesses locais, em detrimento do
interesse regional.
III. O estoque construído de edificações subutilizadas em áreas centrais é dissociado do
atendimento das demandas habitacionais na perspectiva metropolitana.
IV. A reocupação de edificações ociosas em áreas centrais é uma das estratégias para a redução do
déficit habitacional, com potencial de impacto na escala metropolitana.
É correto apenas o que se afirma em","[""I e III."",""I e IV."",""II e III."",""I, II e IV."",""II, III e IV""]",1,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:45.28
Z0FBQUFBQm5wRGR4RXRNRmtwUS03cTlVZS1sYUJqMnNtaGZNT3N5YTdxTGJ4eUI2Y21VRzFSNjBFcDE0eGRVTC15R3dSMWJvbnl5Z3pfdHZnNk1VLWsxU2J4c0pscEwtWEE9PQ==,"Os chamados instrumentos urbanísticos, criados na Europa após a 2ª Guerra Mundial, visavam garantir
ao Estado ferramentas jurídico-institucionais para o controle efetivo das dinâmicas de produção e
do uso do espaço urbano, a fim de promoverem o interesse público acima do privado e de tentarem
mediar os conflitos decorrentes dessas dinâmicas. No Brasil, os instrumentos urbanísticos, previstos
pelo Estatuto da Cidade, possibilitam aos municípios realizar a gestão das dinâmicas de produção da
cidade e o enfrentamento das desigualdades estabelecidas.
Considerando o Estatuto da Cidade quanto à regulamentação e ao controle do desenvolvimento urbano,
avalie as afirmações a seguir.
I. O Estatuto da Cidade busca garantir a diversidade de perfis socioeconômicos, por meio da
promoção da habitação de interesse social integrada à malha urbana.
II. O Estatuto da Cidade possibilita a promoção da habitação social pelo mercado imobiliário
privado por meio de ações de indução e incentivo.
III. O Estatuto da Cidade promove a privatização dos espaços públicos, incentivando a ação
empreendedora do setor privado.
É correto o que se afirma em","[""I, apenas."",""III, apenas."",""I e II, apenas."",""II e III, apenas."",""I, II e III.""]",2,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:45.495
Z0FBQUFBQm5wRGR4V3Z6T21HbHJVM2dhUFBrWFpCQi1BbkNDOGNUQmhvaGU1YTRXQzFCcllFZWNaVU03MGtYV21hWEpwNWZ0VTItODJzM1VlanZUS3VMend3amFDbndYd3c9PQ==,"O gerenciamento de projetos demanda o conhecimento das variáveis e dimensões que fazem parte das
etapas do processo. No entanto, observa-se, em canteiros de obras, a utilização de projetos desatualizados,
ignorando-se modificações realizadas nos escritórios de arquitetura e registradas em desenhos mais
atualizados. A realização de atualizações visa ao aprimoramento e à compatibilidade do projeto inicial com
novas informações que surjam antes da execução dos serviços. A não conformidade advinda da utilização
de desenhos ou informações obsoletas resulta em impactos adversos no canteiro de obras.
MARQUES, R. V. A arquitetura das estrelas: os princípios de harmonia e a gestão sustentável.
Rio de Janeiro: E-papers, 2008 (adaptado).
Considerando o contexto das informações apresentadas, avalie as afirmações a seguir.
I. O detalhamento do projeto arquitetônico e a sua compatibilidade com os projetos
complementares permitem que o orçamento da obra seja feito com uma ordem de grandeza
bem próxima à do real, evitando-se, assim, estimativas e retrabalhos.
II. A compatibilidade entre soluções arquitetônicas, estruturais e de instalações, colabora para
serem evitados possíveis erros de projeto e execução.
III. A compatibilidade dos projetos tem início no arquitetônico e engloba os projetos complementares,
que são sobrepostos para identificação de interferências entre seus elementos.
É correto o que se afirma em","[""I, apenas."",""II, apenas"",""I e III, apenas."",""II e III, apenas."",""I, II e III.""]",4,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:45.609
Z0FBQUFBQm5wRGR5cGUyUG45UFFoU19mWDlpMWFYSEpLQkk3a1dyTVZPVGhyVzdISnc1cENfc21qRnlGQmhLTnlKcnF4QkQtYTVnWm5jbGdLUlZMeFBxMmdORUlLSFlMSXc9PQ==,"A evolução dos paradigmas do planejamento urbano nas cidades latino-americanas mostra um reflexo
das teorias na Europa e nos Estados Unidos. Nas décadas de 1950 e 1960, por exemplo, temos o
paradigma do planejamento urbano funcionalista, com a influência da Carta de Atenas e do movimento
modernista. Dessa forma, entre as bases do planejamento urbano funcionalista estão o regramento do
uso do solo (zoneamento excessivo), a menor utilização do solo e a maior altura das edificações.
Considerando o enfoque apresentado no texto, avalie as afirmações a seguir.
I. O planejamento urbano funcionalista implica na preservação ambiental, pois conserva grande
parte do solo com baixas taxas de ocupação.
II. O zoneamento excessivo previsto pelo funcionalismo afasta as habitações dos locais de trabalho,
isolando as atividades urbanas.
III. As distâncias percorridas em uma cidade funcionalista são consideravelmente maiores, em
função do zoneamento excessivo.
É correto o que se afirma em","[""I, apenas."",""II, apenas."",""I e III, apenas."",""II e III, apenas."",""I, II e III.""]",4,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:45.806
Z0FBQUFBQm5wRGR5SmJKdXVLdWM5bnlfTVhZUHRjbjZSUXlGbXVVeFJPdTgwNjM4UFZ3S1U5X3BGMnFOYWhGZ3ZlNTdkUGd0S1dFaXZIa3Z6ZG5Ha3d1NjZzd0pDRzA5TVE9PQ==,"Segundo Françoise Choay, o projeto de conservação, do qual a noção de monumento histórico não
está dissociada, supõe, por definição, dois instrumentos específicos: por um lado, a jurisdição, que dá
ao projeto o seu estatuto institucional; por outro lado, a disciplina construtiva, solidária e tributária
dos novos saberes históricos e, a partir daí, a chamada restauração. A restauração, graças aos
conhecimentos manifestados à medida que progridem os saberes da história da arte, da história das
técnicas, da arqueologia é a disciplina prática por meio da qual se pretende substituir as reparações
e intervenções – empíricas e marcadas pelas suas respectivas épocas – de que, até agora, todos os
monumentos e edifícios foram indistintamente o objeto.
CHOAY, F. O patrimônio em questão: antologia para um combate. Belo Horizonte: Fino Traço, 2011 (adaptado).
Acerca das recomendações e dos procedimentos aplicáveis a um projeto de restauração, avalie as
afirmações a seguir.
I. A edificação deve ser percebida como objeto pertencente ao meio social, econômico e técnico
de uma época.
II. O conhecimento das técnicas construtivas originais e da trajetória de usos e modificações do
objeto a ser restaurado baliza a formulação do projeto de restauração.
III. O retorno ao estado original do bem, com o apagamento das marcas legadas pelo tempo, é o que
se busca realizar com o projeto de restauração.
É correto o que se afirma em","[""I, apenas."",""III, apenas"",""I e II, apenas"",""II e III, apenas"",""I, II e III.""]",2,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:46.1
Z0FBQUFBQm5wRGR5T2VFZmRyLWxleUZlTWkxU0hpWEx6QnE2WUc3LTNoV09NVkw1dGY2TVg4QkpEVW5YempGUjg4MzFRNHJxODJOeG5YZXczRlZRMm9YSU5RelFoam5Hbnc9PQ==,"Uma das atividades da etapa pré-projeto é o programa de necessidades. Para que uma edificação
seja adequada ao uso proposto, é preciso que o projeto seja precedido pela compreensão das
metas, dos desejos de clientes e futuros usuários e das consequências espaciais. Que atividades
terão de ser desenvolvidas na edificação? Quanto espaço útil será necessário, no total e em cada
ambiente? Quais são as exigências de acessibilidade, segurança e flexibilidade? Que tipo de clima
interno é necessário? Todas as exigências e expectativas culturais, estéticas, econômicas ou jurídicas
têm de ser entendidas com clareza. Cada exigência a ser satisfeita na realização de uma edificação
precisa ser registrada minuciosamente, para evitar desapontamentos futuros, permitir a comparação
de alternativas e verificar se o desejado é compatível com o que é possível.
VOORDT, T. J. M.; WEGEN, H. B. R. Arquitetura sob o olhar do usuário: programa de necessidades, projeto e avaliação de edificações.
São Paulo: Oficina de Textos, 2013 (adaptado).
A partir do texto apresentado, conclui-se que o programa de necessidades é um documento que","[""apresenta os critérios de desempenho e os dados qualitativos e quantitativos necessários para\nembasar a etapa de projeto de edificações e as subsequentes, assim como as restrições legais."",""contribui nas tomadas de decisão pelo coordenador e sua equipe relativas aos processos de projeto\natuais, por se tratar especificamente de uma lista exaustiva de ambientes e suas áreas úteis.\n"",""serve de embasamento para a concepção das opções de projeto, podendo sofrer alterações no\ndecorrer da construção, desde que mantidos os prazos de projeto e de obra."","" prioriza a definição das formas de comunicação entre o coordenador de projetos, os outros\nprojetistas, o cliente e os demais agentes públicos e privados."",""propõe o planejamento (pré-projeto) ao cliente, para que sejam definidos prazos e custos das etapas\nposteriores de projeto.\n""]",0,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:46.312
Z0FBQUFBQm5wRGR5TkFpaWdmTm1PaGNOSkU3LXVndTl2YkNYazk5ZW5UMktKU1kxMkY4djFiekhHR1hrMVdFYlNYOTNKbk5ZeTN0bENRT3RnVXBidHBuUzN2MkNoY0cyQVE9PQ==,"No planejamento de um canteiro de obras, o objetivo é a organização do layout e da logística de suas
instalações provisórias, de instalações de segurança e sistema de movimentação e de armazenamento
de materiais.
Considerando o adequado planejamento de um canteiro de obras, avalie as afirmações a seguir.
I. A promoção de operações eficientes e seguras e a alta motivação dos empregados fornecem
boas condições ambientais de trabalho, no que concerne tanto ao conforto quanto à segurança
do trabalho.
II. A limpeza e o cuidado com os aspectos visuais do canteiro produzem impacto positivo em
funcionários e clientes, induzindo mais confiança deles na qualidade da obra.
III. A minimização das distâncias de transporte e dos tempos de movimentação de pessoal evita
obstruções ao movimento de materiais e equipamentos.
IV. O canteiro de obras, enquanto instalação provisória no contexto da construção civil, deve ter
suas despesas de instalação e manutenção reduzidas, dado seu caráter subsidiário para o
resultado da obra.
É correto apenas o que se afirma em","[""I e II."",""II e IV."",""III e IV."",""I, II e III"",""I, III e IV.""]",3,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:45.71
Z0FBQUFBQm5wRGR5VTByQVFKQy12REYwMGRPOHlPQkhHcVUtWlQ0SG52Zm5iZEJKZ0pLVkRPam8xdk53VnJlcUE5N3hnYm90VmlaYWJ3bS1OQzNfazdEdE8tcjRlbEgzT2c9PQ==,"Quando surge o primeiro aluno em cadeira de rodas é que, de repente, os degraus tornam-se visíveis
para todos. A partir do momento em que temos um aluno com deficiência auditiva é que se torna
necessário buscar os meios de comunicação alternativos e aprender a língua de sinais. Quando,
na turma, há um aluno com deficiência visual é que começamos a pensar como ele pode ter mais
independência para se orientar e se movimentar com segurança ou que precisamos, com urgência,
contar com livros em Braille. Se um aluno tem dificuldades de compreensão e comunicação e também
necessita de auxílio para sua alimentação e higiene, temos de reconhecer a necessidade de apoio
pedagógico e da presença de um acompanhante na escola.
DISCHINGER, M. et al. Manual de acessibilidade espacial para escolas: o direito à escola acessível.
Brasília: Ministério da Educação, Secretaria de Educação Especial, 2009 (adaptado).
Sobre a acessibilidade na arquitetura escolar e considerando a NBR 9050/2020, assinale a opção correta.","[""A largura livre nos corredores em uma biblioteca, entre estantes de livros, deve medir, no mínimo, 1,50 m."",""Os equipamentos complementares, tais como piscinas, locais de exposições, praças, podem ser acessados\npor escadas."",""A recomendação é que as salas de aula estejam localizadas no térreo, e os espaços de uso secundário,\ncomo refeitórios e sanitários, no andar superior."",""As barreiras arquitetônicas podem ser vencidas com a implementação de elementos de acessibilidade,\ntais como rampas, banheiros adaptados, plataformas elevatórias e piso tátil."",""O projeto arquitetônico para escolas de dois pavimentos deve prever uma unidade de banheiro acessível\nno pavimento térreo, sendo facultada a inclusão de outra unidade no pavimento superior.""]",3,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:45.901
Z0FBQUFBQm5wRGR5ZURUWE1ESjNoUU9QaHNKdGRBNFl0c0hTc0lENjlhRDhvejg4d0poRGdIZ2VybU1tUEFXMWdQS0VTMEVyS0xtSk11NUttX3RBWjdjMzg0NVpWLTBqenc9PQ==,"O decreto n. 10.306/2020, estabeleceu a utilização da Modelagem da Informação da Construção (BIM) na execução direta ou indireta de obras e serviços de engenharia realizada pelos órgãos e pelas entidades da Administração Pública Federal. A respeito do conjunto de tecnologias e processos integrados BIM, avalie as afirmações a seguir. I. As informações são articuladas por meio de um banco de dados digitais integrados sobre o projeto de edifícios, gerado após o modelo ser produzido. II. A tecnologia BIM utiliza elementos paramétricos, interconectados e integrados espacialmente, sendo possível alterar seus componentes e obter atualizações instantâneas, que repercutem em todo o projeto. III. A compreensão da articulação entre elementos construtivos do edifício é facilitada com o uso do BIM, otimizando-se processos de revisões e melhorando-se a produtividade. IV. O ciclo de vida do projeto e o da construção do edifício são gerenciados, sendo incluídos os processos de construção, instalações técnicas e canteiro de obras. É correto apenas o que se afirma em","[""I e II."",""I e IV"",""III e IV"",""I, II e III."",""E II, III e IV.""]",4,Arquitetura e Urbanismo,2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:15:46.204
Z0FBQUFBQm5wRHZjWnc5T08tWlN5bGlXbnp3czZ3aFAtY2RIc1M4LUlDNm5jbVM0Y3VfMnBtLVN3Zkx4Wkl2VURkUWtJTVR3M1hDcm5kVjJtZU84THJ6RFNNRmxSUUdrcEE9PQ==,"O crescimento das cidades promove o aumento da demanda por serviços de água tratada, esgotamento
sanitário, manejo das águas pluviais, limpeza urbana e coleta de resíduos sólidos. No Brasil, o processo
de urbanização ocorreu de forma rápida e desigual, o que resultou no agravamento de injusti ças sociais
e econômicas. Os serviços de saneamento básico considerados direitos humanos fundamentais não são
acessíveis a uma parcela signifi cati va da população, principalmente àquela em que se concentram os
segmentos populacionais em situação de vulnerabilidade.
 O atendimento integral e universalizado junto às populações periféricas e em situação de
vulnerabilidade consti tui um grande desafi o, por demandar políti cas públicas e investi mentos
subsidiados e permanentes.
Disponível em: htt ps://www.periodicos.unimontes.br/index.php/verdegrande/ arti cle/view/6018.
Acesso em: 22 jun. 2023 (adaptado) .
 Acerca do saneamento básico no Brasil, avalie as afi rmações a seguir.
I. A grave desigualdade social, evidenciada pela segregação nos espaços urbanos, é uma das
barreiras para a universalização do acesso aos serviços de saneamento básico.
II. O serviço de abastecimento de água no Brasil situa-se no mesmo patamar de fornecimento e de
infraestrutura que o sistema de coleta e tratamento do esgoto.
III. A universalização do acesso aos serviços de saneamento básico requer investi mentos em
políti cas públicas e em tecnologias sociais que priorizem a democrati zação e o atendimento às
populações em situação de vulnerabilidade.
IV. O aumento da incidência de doenças transmiti das pela água resulta não somente da
inadequação dos serviços de saneamento, mas também da precariedade das condições de
moradia da população em situação de vulnerabilidade.
 É correto apenas o que se afi rma em","[""A I e II.\nB I e IV.\nC II e III.\nD I, III e IV.\nE II, III e IV""]",3,"Agronomia ",2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:34:36.816
Z0FBQUFBQm5wRHZkalRUMDZHdDNBNGlNcUpYWFlhWEFPekFGTlpCUzlVUzd3MzRGYXB1X2pfUEs0MGQ4dlZmMzJCTzIxV1NYM0tnZ1JINHcyMV9Wb09zUFpiR0txdlpPb1E9PQ==,"A sociedade do século XXI não é mais uma sociedade disciplinar, mas, sim, uma sociedade do desempenho.
Os seus habitantes também não se chamam mais sujeitos de obediência, mas, sim, sujeitos de
desempenho e produção. São empresários de si mesmos.
 BYUNG-CHUL HAN. Sociedade do Cansaço . Petrópolis: Vozes, 2015 (adaptado).
 Considerando o texto apresentado, avalie as afi rmações a seguir.
I. Os recursos tecnológicos, como noti fi cações de mensagens em tempo real e controle da
velocidade de áudio em redes de mensagens, são fatores que podem contribuir para a
precarização das relações de trabalho na sociedade contemporânea.
II. As medidas pessoais de proteção à saúde mental e de promoção da qualidade de vida incluem
a desati vação de aplicati vos e mecanismos de noti fi cações instantâneas, bem como a fi xação de
horários para uso profi ssional e uso recreati vo das tecnologias digitais.
III. As medidas públicas de prevenção das doenças e dos danos sociais associados ao uso
excessivo dos recursos tecnológicos de comunicação envolvem estímulos ao letramento
digital, à alfabetização midiática e à regulamentação do uso de plataformas digitais no
ambiente de trabalho.
 É correto o que se afi rma em","[""A I, apenas.\nB III, apenas.\nC I e II, apenas.\nD II e III, apenas.\nE I, II e III.""]",4,"Agronomia ",2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:34:37.39
Z0FBQUFBQm5wRHZkbGJBdEQ0MTNpQUJoWEpxZUx2NGJJcVlGajl5eDhHeHEtWG82WGpCdE5HdVBtT2VUNllWLTNBU210YzZxakM4TFY3X0xzX0Vwa2EwdzJ0Zl9BVW5jYUE9PQ==,"TEXTO 1
 A Inteligência Arti fi cial (IA) generati va é capaz de criar novos dados, únicos, que possibilitam aprender
por conta própria, indo além do que a tecnologia tradicional proporciona, visto que esta precisa de
intervenção humana. Um exemplo da IA generati va é o ChatGPT, que pode gerar imagens, músicas e
textos completamente novos. Entre outras coisas, por meio da IA generati va, é possível elaborar
modelos de previsão de testes clínicos, realizar a identi fi cação de padrões em exames médicos e, ainda,
auxiliar no diagnósti co de doenças.
 Disponível em: htt ps://olhardigital.com.br/2023/07/12/internet-e-redes-sociais/ inteligencia-arti fi cial-generati va-o-que-ecomo-funciona-e-onde-usar/. Acesso em: 2 ago. 2023 (adaptado).
 TEXTO 2
 Acredita-se que a tecnologia de IA generati va será disrupti va e, portanto, capaz de alterar drasti camente
a maneira como o ser humano se relaciona com as máquinas. O uso da IA generati va pode causar
importante revolução no segmento de produção de conteúdo. Muitas dessas consequências poderão
ser maléfi cas para diversos setores da sociedade. Além do mau uso dessa tecnologia e das questões
éti cas, avalia-se que ela pode agravar a desigualdade econômico-social, tanto entre nações quanto
entre indivíduos da mesma nação.
 Disponível em: htt ps://canaltech.com.br/inteligencia-arti fi cial/o-que-e-ia-generati va/.
Acesso em: 2 ago. 2023 (adaptado).
 Considerando os textos apresentados, é correto afi rmar que a IA generati va","[""A proporciona novos recursos de linguagem que geram tecnologias capazes de realizar interações\npróprias dos seres humanos.\nB restringe o aprendizado ao que é legalmente estabelecido e úti l ao ser humano, o que facilita seu\nmodo de agir no mundo do conhecimento e do trabalho.\nC promove a igualdade econômico-social ao substi tuir o ser humano no exercício de profi ssões cujas\nati vidades sejam repeti ti vas e exijam pouco conhecimento.\nD gera pouco impacto socioeconômico em países com elevado desenvolvimento tecnológico, pois,\nneles, os processos de criação e inovação já estão bem consolidados.\nE esti mula o desenvolvimento intelectual dos seres humanos, uma vez que ela assume parte do\nconhecimento, resolvendo problemas antes delegados apenas a especialistas.""]",0,"Agronomia ",2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:34:36.943
Z0FBQUFBQm5wRHZkMGNWbDhTNEJqSk9oREtfYmJidkpuNm1ZMWVXeERRcmcya0JsRzU0Qm9xT09GdzcyNndsLUE2ZnN2OWZvZHhuQklsY3BVeC1IUEY3LVZ1cW1QN00wSVE9PQ==,"A rastreabilidade pode ser definida como o mecanismo que permite identificar a origem do produto
e seu percurso desde o campo até o consumidor final, no caso de alimentos processados ou
minimamente processados, que podem ter passado por uma ou mais transformações. Nesse sentido,
um sistema de rastreabilidade é um conjunto de medidas que possibilitam controlar e monitorar
sistematicamente todas as entradas e saídas nas unidades, sejam elas produtivas, processadoras
ou distribuidoras, a fim de garantir a origem e a qualidade do produto final. Quanto maiores forem
o número e a frequência das informações necessárias, bem como as formas de comprovação destas,
melhor será o sistema de rastreabilidade.
Disponível em: http://www.iea.sp.gov.br/out/. Acesso em: 12 jun. 2023 (adaptado).
A partir das informações apresentadas, avalie as afirmações a seguir.
I. A qualidade do sistema de rastreabilidade será melhor quanto maiores forem o número e a
frequência das informações necessárias, bem como suas formas de comprovação.
II. A rastreabilidade pode ser aplicada a qualquer tipo de cadeia produtiva, sendo que, para cada
uma dessas cadeias, haverá critérios específicos para a qualidade final do produto, que pode
ser sanitária, de pureza e orgânica, além de inúmeras outras que o mercado já exige ou pode
passar a demandar.
III. O processo de implantação de rastreabilidade tem início com uma solicitação do produtor à
entidade responsável.
É correto o que se afirma em","["" I, apenas.\nB II, apenas.\nC I e III, apenas.\nD II e III, apenas.\nE I, II e III""]",4,"Agronomia ",2024,00ec1084-9db9-4f03-8dd0-06a8f10407da,2025-02-06 04:34:37.501
